年カテゴリ,パン名,発祥地,発祥年,説明,緯度,経度,画像名
-2000,ナン,インド、中央アジア,2000BCE,タンドール窯で焼かれる。,28.6139,77.2090,nan.jpg
-1900,神聖なパン,クレタ島、ミノア文明,2000BCE以降,ミノア文明は、現在のクレタ島を中心に栄えた古代の文明で、ミノア文明の遺跡からは、蜂蜜や果物を使ったお菓子やケーキの痕跡が見つかっており、これらは宗教儀式や社会的なイベントでの重要な食材として利用されていた。,35.2401,24.8093,minoa.jpg
-800, 菓子パンの起源, 古代ギリシャ, 800BCE〜, 古代ギリシャは古代エジプトと交易が盛んなことから800には発酵パンの技術が伝わっており独自の発酵種を開発している(ぶどう酒の製造が盛んだったため、ブドウとキビを原料に用いた) アテナイなどの都市でパン職人が成立、パンの種類も多様化しハチミツやオリーブオイル、チーズ、ドライフルーツ、ワイン、揚げパンなどエジプトや中東のパン作りとも融合し香辛料を混ぜた甘いパンも登場し菓子パン文化の始まりとされた 形も長方形や王冠、動物の形のものなど多様性に富み、良質なものは輸出もされた, 37.9838, 23.7275,none
-800, 発酵パンの発展, 古代ローマ, 753BCE, エジプトから発酵種の技術を学び発展させ柔らかく風味豊かなパンが増えてきた, 41.9028, 12.4964,none
-700, ライ麦パン, 東欧, 700BCE, ライ麦は小麦の中の雑草とされていたが、北部に種が伝わるにつれて寒冷でもよく育つ性質からロシア、東欧、北欧では小麦のパンに混ざる割合が増えてきたことがライ麦パンの起源とされている, 53.3498, 18.6457,none
-600, パンの社会活動, 共和政ローマ, 509BCE, パン職人ギルドの結成、公共のパン窯が設置され、貧困層向けの無料パン配布も行われる。, 41.9028, 12.4964,none
-200, 嗜好品のパン, 共和政ローマ, 200BCE, ローマでも職業としてパン屋が成立する一方、奴隷となったギリシャのパン職人から技術が伝わり卵やミルク、ハチミツやドライフルーツを使った嗜好品としてのパンが広まる, 41.9028, 12.4964,none
-100, パンと見世物, 共和政ローマ, 100BCE〜, 「パンと見世物（ラテン語：panem et circenses）」共和政ローマの末期から帝政ローマの初期にかけて、都市部の貧困層が増え、政府は市民の生活不満を抑えるために食料と娯楽を提供するようになりました。パンと娯楽を通じて市民の支持を得る。また市民は生活の保証と娯楽を得る一方で、政治や社会の問題に無関心になっていきました。, 41.9028, 12.4964,none
-100, マリトッツォの起源, 共和政ローマ, 100BCE〜, マリトッツォの誕生 小麦粉・卵・蜂蜜・バター・塩を混ぜ合わせたパン ローマでは、男性がマリトッツォのような甘いドルチェを婚約者にプレゼントするというロマンティックな風習がありました。, 41.9028, 12.4964,none
100, フォカッチャの起源, ローマ帝国, 79, ポンペイ遺跡からはパン用の粉を挽いた臼や丸パンが詰まったかまどが発掘されている イタリアの代表的なパンフォカッチャの原型はこの頃に確立されローマ時代に基本的な製パン技術が確立されたとも言われている, 40.7495, 14.4817,none
500, パン技術の消失, ヨーロッパ, 5世紀～, 西ローマ崩壊に伴いパンの技術も消失し719年までパンに関して言及された記録文書は見つかっていないとされている。, 48.8566, 2.3522,none
1800,バゲット,フランス,19世紀,フランスで広まる細長いパン。,48.8566,2.3522,baguette.jpg
